"filename", "language", "JSON", "HTML", "JSON with Comments", "TypeScript", "Python", "TypeScript JSX", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"c:\Users\12206\Desktop\智膳第二版\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 8, 21
"c:\Users\12206\Desktop\智膳第二版\api\generate.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 69, 0, 3, 12, 84
"c:\Users\12206\Desktop\智膳第二版\api\location.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 31, 0, 7, 9, 47
"c:\Users\12206\Desktop\智膳第二版\api\vercel.json", "JSON", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\Users\12206\Desktop\智膳第二版\extract_code.py", "Python", 0, 0, 0, 0, 50, 0, 0, 0, 0, 1, 13, 64
"c:\Users\12206\Desktop\智膳第二版\index.html", "HTML", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\12206\Desktop\智膳第二版\metadata.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\12206\Desktop\智膳第二版\package-lock.json", "JSON", 6562, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6563
"c:\Users\12206\Desktop\智膳第二版\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"c:\Users\12206\Desktop\智膳第二版\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 2, 28
"c:\Users\12206\Desktop\智膳第二版\src\api\gemini.ts", "TypeScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 1, 5, 42
"c:\Users\12206\Desktop\智膳第二版\src\components\Layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 94, 0, 0, 0, 3, 10, 107
"c:\Users\12206\Desktop\智膳第二版\src\i18n.ts", "TypeScript", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 4, 262
"c:\Users\12206\Desktop\智膳第二版\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 61
"c:\Users\12206\Desktop\智膳第二版\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\12206\Desktop\智膳第二版\src\pages\GeneratePlan.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 0, 3, 16, 232
"c:\Users\12206\Desktop\智膳第二版\src\pages\Home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 9, 201
"c:\Users\12206\Desktop\智膳第二版\src\pages\PlanView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 282, 0, 0, 0, 0, 19, 301
"c:\Users\12206\Desktop\智膳第二版\src\pages\PlansList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 218, 0, 0, 0, 0, 13, 231
"c:\Users\12206\Desktop\智膳第二版\src\pages\Profile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 534, 0, 0, 0, 6, 26, 566
"c:\Users\12206\Desktop\智膳第二版\src\store.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 17, 130
"c:\Users\12206\Desktop\智膳第二版\src\types.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"c:\Users\12206\Desktop\智膳第二版\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\12206\Desktop\智膳第二版\vite.config.ts", "TypeScript", 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 2, 25
"Total", "-", 6620, 12, 26, 374, 50, 1682, 54, 100, 13, 26, 186, 9143
